date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:56:31	41280/41280	---M-Z	200	added ('OK')	application/x-font-ttf	date:Thu,%2003%20Jul%202014%2019:11:29%20GMT	http://learnix.in/fonts/glyphicons-halflings-regular.ttf	C:/My%20Web%20Sites/learnix/learnix.in/fonts/glyphicons-halflings-regular.ttf	(from http://learnix.in/css/bootstrap.css)
20:56:31	335/335	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2005%20Jul%202014%2015:26:30%20GMT	http://learnix.in/res/FC000632-(Copy	C:/My%20Web%20Sites/learnix/learnix.in/res/FC000632-(Copy	(from http://learnix.in/style.css)
20:56:38	122524/122524	---MCZ	200	added ('OK')	application/x-font-ttf	date:Thu,%2003%20Jul%202014%2019:11:30%20GMT	http://learnix.in/fonts/Lato-Lig.ttf	C:/My%20Web%20Sites/learnix/learnix.in/fonts/Lato-Lig.ttf	(from http://learnix.in/style.css)
20:56:39	120196/120196	---MCZ	200	added ('OK')	application/x-font-ttf	date:Thu,%2003%20Jul%202014%2019:11:30%20GMT	http://learnix.in/fonts/Lato-Reg.ttf	C:/My%20Web%20Sites/learnix/learnix.in/fonts/Lato-Reg.ttf	(from http://learnix.in/style.css)
20:56:50	118893/118893	---M--	200	added ('OK')	image/jpeg	date:Fri,%2004%20Jul%202014%2006:42:51%20GMT	http://learnix.in/res/career.jpg	C:/My%20Web%20Sites/learnix/learnix.in/res/career.jpg	(from http://learnix.in/style.css)
20:56:51	7577/7577	---M--	200	added ('OK')	image/png	date:Thu,%2003%20Jul%202014%2019:12:49%20GMT	http://learnix.in/res/social.png	C:/My%20Web%20Sites/learnix/learnix.in/res/social.png	(from http://learnix.in/style.css)
20:56:52	4586/4586	---M--	200	added ('OK')	image/jpeg	date:Thu,%2003%20Jul%202014%2019:12:23%20GMT	http://learnix.in/res/imran-150x150.jpg	C:/My%20Web%20Sites/learnix/learnix.in/res/imran-150x150.jpg	(from http://learnix.in/ABOUT.html)
20:56:54	7814/7814	---M--	200	added ('OK')	image/jpeg	date:Thu,%2003%20Jul%202014%2019:12:24%20GMT	http://learnix.in/res/manish-e1388598955156-150x150.jpg	C:/My%20Web%20Sites/learnix/learnix.in/res/manish-e1388598955156-150x150.jpg	(from http://learnix.in/ABOUT.html)
20:56:55	6147/6147	---M--	200	added ('OK')	image/jpeg	date:Thu,%2003%20Jul%202014%2019:11:32%20GMT	http://learnix.in/res/chetan-1-150x150.jpg	C:/My%20Web%20Sites/learnix/learnix.in/res/chetan-1-150x150.jpg	(from http://learnix.in/ABOUT.html)
20:56:55	749/749	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2003%20Jul%202014%2019:11:31%20GMT	http://learnix.in/js/maps.js	C:/My%20Web%20Sites/learnix/learnix.in/js/maps.js	(from http://learnix.in/Contact.html)
20:57:08	201423/201423	---M--	200	added ('OK')	image/jpeg	date:Fri,%2004%20Jul%202014%2006:43:50%20GMT	http://learnix.in/res/services.jpg	C:/My%20Web%20Sites/learnix/learnix.in/res/services.jpg	(from http://learnix.in/style.css)
20:57:16	362939/362939	---M--	200	added ('OK')	image/jpeg	date:Thu,%2003%20Jul%202014%2019:12:51%20GMT	http://learnix.in/res/tech1.jpg	C:/My%20Web%20Sites/learnix/learnix.in/res/tech1.jpg	(from http://learnix.in/style.css)
20:57:38	865909/865909	---M--	200	added ('OK')	image/jpeg	date:Fri,%2004%20Jul%202014%2006:43:53%20GMT	http://learnix.in/res/partners.jpg	C:/My%20Web%20Sites/learnix/learnix.in/res/partners.jpg	(from http://learnix.in/style.css)
